"county","state","estimated_house_price","cum_county","cum_estimated_house_price"
"Cidra Municipio","Puerto Rico","NA","97.84%","NA%"
"Coamo Municipio","Puerto Rico","NA","97.87%","NA%"
"Comerío Municipio","Puerto Rico","NA","97.9%","NA%"
"Corozal Municipio","Puerto Rico","NA","97.93%","NA%"
"Culebra Municipio","Puerto Rico","NA","97.96%","NA%"
"Dorado Municipio","Puerto Rico","NA","97.99%","NA%"
"Fajardo Municipio","Puerto Rico","NA","98.02%","NA%"
"Florida Municipio","Puerto Rico","NA","98.05%","NA%"
"Guánica Municipio","Puerto Rico","NA","98.08%","NA%"
"Guayama Municipio","Puerto Rico","NA","98.11%","NA%"
"Guayanilla Municipio","Puerto Rico","NA","98.15%","NA%"
"Guaynabo Municipio","Puerto Rico","NA","98.18%","NA%"
"Gurabo Municipio","Puerto Rico","NA","98.21%","NA%"
"Hatillo Municipio","Puerto Rico","NA","98.24%","NA%"
"Hormigueros Municipio","Puerto Rico","NA","98.27%","NA%"
"Humacao Municipio","Puerto Rico","NA","98.3%","NA%"
"Isabela Municipio","Puerto Rico","NA","98.33%","NA%"
"Jayuya Municipio","Puerto Rico","NA","98.36%","NA%"
"Juana Díaz Municipio","Puerto Rico","NA","98.39%","NA%"
"Juncos Municipio","Puerto Rico","NA","98.42%","NA%"
"Lajas Municipio","Puerto Rico","NA","98.45%","NA%"
"Lares Municipio","Puerto Rico","NA","98.49%","NA%"
"Las Marías Municipio","Puerto Rico","NA","98.52%","NA%"
"Las Piedras Municipio","Puerto Rico","NA","98.55%","NA%"
"Loíza Municipio","Puerto Rico","NA","98.58%","NA%"
"Luquillo Municipio","Puerto Rico","NA","98.61%","NA%"
"Manatí Municipio","Puerto Rico","NA","98.64%","NA%"
"Maricao Municipio","Puerto Rico","NA","98.67%","NA%"
"Maunabo Municipio","Puerto Rico","NA","98.7%","NA%"
"Mayagüez Municipio","Puerto Rico","NA","98.73%","NA%"
"Moca Municipio","Puerto Rico","NA","98.76%","NA%"
"Morovis Municipio","Puerto Rico","NA","98.79%","NA%"
"Naguabo Municipio","Puerto Rico","NA","98.83%","NA%"
"Naranjito Municipio","Puerto Rico","NA","98.86%","NA%"
"Orocovis Municipio","Puerto Rico","NA","98.89%","NA%"
"Patillas Municipio","Puerto Rico","NA","98.92%","NA%"
"Peñuelas Municipio","Puerto Rico","NA","98.95%","NA%"
"Ponce Municipio","Puerto Rico","NA","98.98%","NA%"
"Quebradillas Municipio","Puerto Rico","NA","99.01%","NA%"
"Rincón Municipio","Puerto Rico","NA","99.04%","NA%"
"Río Grande Municipio","Puerto Rico","NA","99.07%","NA%"
"Sabana Grande Municipio","Puerto Rico","NA","99.1%","NA%"
"Salinas Municipio","Puerto Rico","NA","99.13%","NA%"
"San Germán Municipio","Puerto Rico","NA","99.17%","NA%"
"San Juan Municipio","Puerto Rico","NA","99.2%","NA%"
"San Lorenzo Municipio","Puerto Rico","NA","99.23%","NA%"
"San Sebastián Municipio","Puerto Rico","NA","99.26%","NA%"
"Santa Isabel Municipio","Puerto Rico","NA","99.29%","NA%"
"Toa Alta Municipio","Puerto Rico","NA","99.32%","NA%"
"Toa Baja Municipio","Puerto Rico","NA","99.35%","NA%"
"Trujillo Alto Municipio","Puerto Rico","NA","99.38%","NA%"
"Utuado Municipio","Puerto Rico","NA","99.41%","NA%"
"Vega Alta Municipio","Puerto Rico","NA","99.44%","NA%"
"Vega Baja Municipio","Puerto Rico","NA","99.47%","NA%"
"Vieques Municipio","Puerto Rico","NA","99.51%","NA%"
"Villalba Municipio","Puerto Rico","NA","99.54%","NA%"
"Yabucoa Municipio","Puerto Rico","NA","99.57%","NA%"
"Yauco Municipio","Puerto Rico","NA","99.6%","NA%"
